artist,birth date,birth place,death date,title,winning bid,auction date,category,style,age
akhilesh,1956-01-01 00:00:00,Indore,,Divine Conversation,9000.0,2019-06-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,In search of Untitled forms -II,1120.0,2013-11-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,In Search of Untitled Lines,6186.0,2013-08-01 00:00:00,painting,unknown,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Magadhi,2400.0,2013-02-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Untitled,2942.0,2013-02-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Para,6120.0,2013-01-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Swayamprabha,22713.0,2007-03-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Has it something to do with Benaras?,6038.0,2007-03-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Para,15780.0,2006-09-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Has it something to do with Benaras,9130.0,2006-09-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Mahawar Ke Rang Jaisa Lahoo,23661.0,2006-03-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,Has it something to do with Benaras,21714.0,2006-03-01 00:00:00,painting,abstract,63.0
akhilesh,1956-01-01 00:00:00,Indore,,"REVEALED UNTITLED, 2006",3138.0,2015-10-01 00:00:00,unknown,unknown,63.0
akhilesh,1956-01-01 00:00:00,Indore,,"UNTITLED, 1996",1268.0,2015-10-01 00:00:00,unknown,unknown,63.0
akhilesh,1956-01-01 00:00:00,Indore,,"PAINTING VIII, 1988",3743.0,2015-01-01 00:00:00,unknown,unknown,63.0
akhilesh,1956-01-01 00:00:00,Indore,,"UNTITLED, 1999",1979.0,2014-08-01 00:00:00,unknown,unknown,63.0
altaf,1942-01-01 00:00:00,"Baroda, Gujarat",2005-01-01 00:00:00,Hospital Series - 7,,2004-12-01 00:00:00,painting,figurative,63.0
altaf,1942-01-01 00:00:00,"Baroda, Gujarat",2005-01-01 00:00:00,Visions of the Self as the Other,,2002-12-01 00:00:00,painting,figurative,63.0
altaf,1942-01-01 00:00:00,"Baroda, Gujarat",2005-01-01 00:00:00,Untitled,,2002-12-01 00:00:00,painting,figurative,63.0
altaf,1942-01-01 00:00:00,"Baroda, Gujarat",2005-01-01 00:00:00,,1455.0,2019-05-01 00:00:00,unknown,unknown,63.0
altaf,1942-01-01 00:00:00,"Baroda, Gujarat",2005-01-01 00:00:00,"UNTITLED, 2004",871.0,2015-01-01 00:00:00,unknown,unknown,63.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Men Waiting for Ships Four and Eight,990.0,2013-05-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man with a Club,480.0,2011-11-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Characteristics among Black Ants,240.0,2011-11-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Frog Catchers of Udiyankulangara,17520.0,2011-11-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man with a Club,,2011-02-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Innocents and Apparition of a Running Man,1495.0,2011-02-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Men Waiting for Death in a Beach of Eternal Quest,,2009-12-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Lassar Noble Driving the Earth Vehicle,8625.0,2009-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man Ascending the Mount of Pain - Series: Tradition of Death,4313.0,2009-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man Feeding Sphinx with Hard Earned Corns,,2008-12-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Frog Catchers of Udiyankulangara,43700.0,2008-09-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Puli Kavadi,35075.0,2008-06-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Kvees Stores,37605.0,2008-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Mind Scroll - Detail 1,12823.0,2008-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Monument for a Sculptor,6613.0,2008-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"Men Fighting for Sugar Cane, Botanic Sights 2",49174.0,2008-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man Riding Bitch in Dream Ground,7188.0,2008-03-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Men Waiting for Death in a Beach of Eternal Quest,5750.0,2007-09-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,Man Ascending the Mount of Pain -  Series: Tradition of death,10925.0,2007-09-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"Series: 18 Unique Pictures, Leopard Lock Prevalence of the Eternal Circle",52900.0,2007-09-01 00:00:00,painting,figurative,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,UNTITLED,228.0,2019-01-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"MIND SCROLL. DETAIL. 2, 2005",540.0,2019-01-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"MAN RUNNING AWAY FROM THE LAND OF MALICIOUS CONSTRUCTIONS, 2006",108.0,2018-07-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"WOOD CUTTERS RESTING (SERIES:MIND SCROLL), 2007",840.0,2016-08-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,"ALAN WITH A LUNAR HALO HOLDINGA TORNADO, 2001",2100.0,2016-08-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,UNTITLED,199.0,2015-05-01 00:00:00,unknown,unknown,54.0
gopikrishna,1965-01-01 00:00:00,Trivandrum Kerala,,UNTITLED,780.0,2015-03-01 00:00:00,unknown,unknown,54.0
navjot,1949-12-15 00:00:00,Meerut,,Sirha,9016.0,2015-04-07 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,To Be Famous in Lille,4896.0,2013-06-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Loharpara Junction,5562.0,2013-02-01 00:00:00,photography,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Inner - Winner,12778.0,2010-06-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Untitled,6038.0,2008-09-01 00:00:00,print making,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,To be Famous in Lille,,2008-03-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Inner - Winner,20125.0,2007-09-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,a) Sukai b) Pancho's Sister c) Pancho,21563.0,2007-09-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Sukai,9900.0,2006-09-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Untitled,6083.0,2006-03-01 00:00:00,sculpture,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,a) Masked 3 and b) Masked 2,,2006-03-01 00:00:00,painting,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,Les Miserables,1943.0,2002-12-01 00:00:00,painting,figurative,69.0
navjot,1949-12-15 00:00:00,Meerut,,"UNTITLED, 1989",480.0,2018-01-01 00:00:00,unknown,unknown,69.0
